Iteration,Loss
0,2.28553
20,2.11922
40,2.37968
60,1.99047
80,1.94698
100,1.93256
120,1.93779
140,1.80556
160,1.82138
180,1.97386
200,1.84446
220,1.97078
240,1.99935
260,1.77335
280,1.78084
300,1.82175
320,1.84792
340,1.80105
360,1.77642
380,1.73802
400,1.78146
420,1.84658
440,1.78013
460,1.89055
480,1.65539
500,1.59141
520,1.82374
540,1.67197
560,1.61709
580,1.72666
600,1.84331
620,1.76622
640,1.74603
660,1.62961
680,1.45056
700,1.7066
720,1.56428
740,1.65233
760,1.75624
780,1.67117
800,1.64125
820,1.64823
840,1.66153
860,1.62199
880,1.52391
900,1.57029
920,1.55884
940,1.69321
960,1.52591
980,1.68622
1000,1.57912
1020,1.68033
1040,1.76509
1060,1.71844
1080,1.47812
1100,1.50481
1120,1.8164
1140,1.5596
1160,1.41819
1180,1.50295
1200,1.65023
1220,1.60961
1240,1.60356
1260,1.57689
1280,1.41947
1300,1.52285
1320,1.5098
1340,1.63072
1360,1.28291
1380,1.53092
1400,1.46803
1420,1.55857
1440,1.58478
1460,1.31342
1480,1.64636
1500,1.40828
1520,1.65992
1540,1.63448
1560,1.41657
1580,1.61625
1600,1.59548
1620,1.40094
1640,1.32819
1660,1.47597
1680,1.40891
1700,1.423
1720,1.48199
1740,1.38402
1760,1.42703
1780,1.6468
1800,1.59537
1820,1.36689
1840,1.66293
1860,1.73577
1880,1.80514
1900,1.50576
1920,1.45133
1940,1.50468
1960,1.39656
1980,1.36918
2000,1.55868
2020,1.4966
2040,1.41674
2060,1.62196
2080,1.52091
2100,1.40042
2120,1.54897
2140,1.45527
2160,1.48122
2180,1.5053
2200,1.37759
2220,1.58318
2240,1.43863
2260,1.38238
2280,1.6026
2300,1.54503
2320,1.44348
2340,1.5801
2360,1.39345
2380,1.55621
2400,1.41292
2420,1.36309
2440,1.48198
2460,1.55437
2480,1.37458
2500,1.64653
2520,1.32233
2540,1.33503
2560,1.40055
2580,1.40223
2600,1.44154
2620,1.35769
2640,1.42528
2660,1.47906
2680,1.44887
2700,1.5406
2720,1.59509
2740,1.4715
2760,1.40622
2780,1.55098
2800,1.54088
2820,1.33975
2840,1.42514
2860,1.40425
2880,1.42096
2900,1.323
2920,1.26894
2940,1.31139
2960,1.48244
2980,1.34453
3000,1.50747
3020,1.49806
3040,1.49351
3060,1.47811
3080,1.3943
3100,1.51418
3120,1.5264
3140,1.35543
3160,1.61081
3180,1.33767
3200,1.39781
3220,1.29275
3240,1.50837
3260,1.46066
3280,1.43829
3300,1.32224
3320,1.15965
3340,1.28447
3360,1.21645
3380,1.46892
3400,1.48394
3420,1.57065
3440,1.56188
3460,1.53344
3480,1.4938
3500,1.39138
3520,1.41096
3540,1.3063
3560,1.28974
3580,1.29889
3600,1.39288
3620,1.53486
3640,1.30802
3660,1.49409
3680,1.70924
3700,1.40361
3720,1.35518
3740,1.46477
3760,1.47658
3780,1.25634
3800,1.53845
3820,1.52844
3840,1.42513
3860,1.41557
3880,1.42545
3900,1.4727
3920,1.51824
3940,1.50879
3960,1.36061
3980,1.34985
4000,1.43194
4020,1.48779
4040,1.24738
4060,1.45024
4080,1.40448
4100,1.46406
4120,1.31478
4140,1.3656
4160,1.39604
4180,1.08811
4200,1.38412
4220,1.41652
4240,1.40632
4260,1.58057
4280,1.35898
4300,1.60933
4320,1.26114
4340,1.41438
4360,1.35718
4380,1.30248
4400,1.3249
4420,1.46023
4440,1.54152
4460,1.40992
4480,1.40547
4500,1.49759
4520,1.4866
4540,1.37282
4560,1.3134
4580,1.23353
4600,1.22783
4620,1.25325
4640,1.21421
4660,1.25748
4680,1.34546
4700,1.17146
4720,1.31306
4740,1.32322
4760,1.21904
4780,1.55199
4800,1.43995
4820,1.28428
4840,1.37443
4860,1.47977
4880,1.43732
4900,1.17389
4920,1.57444
4940,1.26566
4960,1.33909
4980,1.40941
5000,1.24043
5020,1.30371
5040,1.27492
5060,1.44969
5080,1.5639
5100,1.29852
5120,1.33623
5140,1.33925
5160,1.57091
5180,1.22044
5200,1.2071
5220,1.31363
5240,1.35921
5260,1.16365
5280,1.3116
5300,1.16574
5320,1.12834
5340,1.36746
5360,1.42952
5380,1.55686
5400,1.21357
5420,1.168
5440,1.37235
5460,1.23331
5480,1.30563
5500,1.35418
5520,1.2618
5540,1.40369
