data
" Iteration 0, loss = 2.28553"
" Iteration 20, loss = 2.11922"
" Iteration 40, loss = 2.37968"
" Iteration 60, loss = 1.99047"
" Iteration 80, loss = 1.94698"
" Iteration 100, loss = 1.93256"
" Iteration 120, loss = 1.93779"
" Iteration 140, loss = 1.80556"
" Iteration 160, loss = 1.82138"
" Iteration 180, loss = 1.97386"
" Iteration 200, loss = 1.84446"
" Iteration 220, loss = 1.97078"
" Iteration 240, loss = 1.99935"
" Iteration 260, loss = 1.77335"
" Iteration 280, loss = 1.78084"
" Iteration 300, loss = 1.82175"
" Iteration 320, loss = 1.84792"
" Iteration 340, loss = 1.80105"
" Iteration 360, loss = 1.77642"
" Iteration 380, loss = 1.73802"
" Iteration 400, loss = 1.78146"
" Iteration 420, loss = 1.84658"
" Iteration 440, loss = 1.78013"
" Iteration 460, loss = 1.89055"
" Iteration 480, loss = 1.65539"
" Iteration 500, loss = 1.59141"
" Iteration 520, loss = 1.82374"
" Iteration 540, loss = 1.67197"
" Iteration 560, loss = 1.61709"
" Iteration 580, loss = 1.72666"
" Iteration 600, loss = 1.84331"
" Iteration 620, loss = 1.76622"
" Iteration 640, loss = 1.74603"
" Iteration 660, loss = 1.62961"
" Iteration 680, loss = 1.45056"
" Iteration 700, loss = 1.7066"
" Iteration 720, loss = 1.56428"
" Iteration 740, loss = 1.65233"
" Iteration 760, loss = 1.75624"
" Iteration 780, loss = 1.67117"
" Iteration 800, loss = 1.64125"
" Iteration 820, loss = 1.64823"
" Iteration 840, loss = 1.66153"
" Iteration 860, loss = 1.62199"
" Iteration 880, loss = 1.52391"
" Iteration 900, loss = 1.57029"
" Iteration 920, loss = 1.55884"
" Iteration 940, loss = 1.69321"
" Iteration 960, loss = 1.52591"
" Iteration 980, loss = 1.68622"
" Iteration 1000, loss = 1.57912"
" Iteration 1020, loss = 1.68033"
" Iteration 1040, loss = 1.76509"
" Iteration 1060, loss = 1.71844"
" Iteration 1080, loss = 1.47812"
" Iteration 1100, loss = 1.50481"
" Iteration 1120, loss = 1.8164"
" Iteration 1140, loss = 1.5596"
" Iteration 1160, loss = 1.41819"
" Iteration 1180, loss = 1.50295"
" Iteration 1200, loss = 1.65023"
" Iteration 1220, loss = 1.60961"
" Iteration 1240, loss = 1.60356"
" Iteration 1260, loss = 1.57689"
" Iteration 1280, loss = 1.41947"
" Iteration 1300, loss = 1.52285"
" Iteration 1320, loss = 1.5098"
" Iteration 1340, loss = 1.63072"
" Iteration 1360, loss = 1.28291"
" Iteration 1380, loss = 1.53092"
" Iteration 1400, loss = 1.46803"
" Iteration 1420, loss = 1.55857"
" Iteration 1440, loss = 1.58478"
" Iteration 1460, loss = 1.31342"
" Iteration 1480, loss = 1.64636"
" Iteration 1500, loss = 1.40828"
" Iteration 1520, loss = 1.65992"
" Iteration 1540, loss = 1.63448"
" Iteration 1560, loss = 1.41657"
" Iteration 1580, loss = 1.61625"
" Iteration 1600, loss = 1.59548"
" Iteration 1620, loss = 1.40094"
" Iteration 1640, loss = 1.32819"
" Iteration 1660, loss = 1.47597"
" Iteration 1680, loss = 1.40891"
" Iteration 1700, loss = 1.423"
" Iteration 1720, loss = 1.48199"
" Iteration 1740, loss = 1.38402"
" Iteration 1760, loss = 1.42703"
" Iteration 1780, loss = 1.6468"
" Iteration 1800, loss = 1.59537"
" Iteration 1820, loss = 1.36689"
" Iteration 1840, loss = 1.66293"
" Iteration 1860, loss = 1.73577"
" Iteration 1880, loss = 1.80514"
" Iteration 1900, loss = 1.50576"
" Iteration 1920, loss = 1.45133"
" Iteration 1940, loss = 1.50468"
" Iteration 1960, loss = 1.39656"
" Iteration 1980, loss = 1.36918"
" Iteration 2000, loss = 1.55868"
" Iteration 2020, loss = 1.4966"
" Iteration 2040, loss = 1.41674"
" Iteration 2060, loss = 1.62196"
" Iteration 2080, loss = 1.52091"
" Iteration 2100, loss = 1.40042"
" Iteration 2120, loss = 1.54897"
