Iteration,Loss
0,4.0245
20,0.807648
40,0.580819
60,0.631485
80,0.574028
100,0.593586
120,0.616794
140,0.567912
160,0.568314
180,0.56506
200,0.622414
220,0.474847
240,0.58505
260,0.522705
280,0.504109
300,0.565153
320,0.507797
340,0.538881
360,0.575887
380,0.480702
400,0.585431
420,0.490719
440,0.547933
460,0.538014
480,0.487479
500,0.585258
520,0.5611
540,0.466964
560,0.532903
580,0.554873
600,0.536658
620,0.510053
640,0.481319
660,0.493885
680,0.489855
700,0.525553
720,0.475004
740,0.534678
760,0.535463
780,0.528022
800,0.490606
820,0.463258
840,0.459002
860,0.472357
880,0.401713
900,0.487929
920,0.480834
940,0.421274
960,0.404253
980,0.437765
1000,0.444393
1020,0.502005
1040,0.547606
1060,0.443589
1080,0.414437
1100,0.458371
1120,0.523611
1140,0.445997
1160,0.505365
1180,0.481578
1200,0.390759
1220,0.490921
1240,0.511775
1260,0.41494
1280,0.455457
1300,0.426471
1320,0.444317
1340,0.430902
1360,0.460155
1380,0.409395
1400,0.451474
1420,0.512345
1440,0.401999
1460,0.440101
1480,0.474973
1500,0.483706
1520,0.506902
1540,0.443646
1560,0.438714
1580,0.449768
1600,0.419254
1620,0.505141
1640,0.434275
1660,0.470348
1680,0.446028
1700,0.490251
1720,0.456684
1740,0.409827
1760,0.464878
1780,0.408666
1800,0.390354
1820,0.427056
1840,0.456117
1860,0.485932
1880,0.500573
1900,0.411595
1920,0.430818
1940,0.489888
1960,0.465145
1980,0.407542
2000,0.434165
2020,0.491142
2040,0.464643
2060,0.478332
2080,0.43289
2100,0.440237
2120,0.384748
2140,0.481622
2160,0.49792
2180,0.453285
2200,0.452674
2220,0.441174
2240,0.438191
2260,0.424702
2280,0.445474
2300,0.437738
2320,0.402919
2340,0.422735
2360,0.442113
2380,0.424205
2400,0.42732
2420,0.413655
2440,0.398475
2460,0.384736
2480,0.418018
2500,0.437163
2520,0.405099
2540,0.44819
2560,0.435774
2580,0.444124
2600,0.466405
2620,0.445401
2640,0.42252
2660,0.462546
2680,0.448268
2700,0.404916
2720,0.413702
2740,0.392858
2760,0.419182
2780,0.417426
2800,0.475235
2820,0.372754
2840,0.476944
2860,0.356524
2880,0.402179
2900,0.381097
2920,0.477941
2940,0.40182
2960,0.373857
2980,0.435232
3000,0.469481
3020,0.394842
3040,0.422528
3060,0.41048
3080,0.470794
3100,0.442337
3120,0.387955
3140,0.399828
3160,0.492692
3180,0.397351
3200,0.442768
3220,0.441261
3240,0.345885
3260,0.360546
3280,0.367721
3300,0.488692
3320,0.419598
3340,0.436232
3360,0.475867
3380,0.389685
3400,0.399372
3420,0.395625
3440,0.434863
3460,0.426113
3480,0.417259
3500,0.44417
3520,0.417449
3540,0.425167
3560,0.424624
3580,0.355575
3600,0.361578
3620,0.344265
3640,0.414715
3660,0.414139
3680,0.419519
3700,0.383591
3720,0.404967
3740,0.398343
3760,0.409024
3780,0.38234
3800,0.37568
3820,0.366601
3840,0.377939
3860,0.350055
3880,0.3814
3900,0.356898
3920,0.406414
3940,0.403258
3960,0.423915
3980,0.395655
4000,0.409961
4020,0.392074
4040,0.393854
4060,0.385456
4080,0.402073
4100,0.439711
4120,0.419904
4140,0.32782
4160,0.451219
4180,0.375952
4200,0.354105
4220,0.361848
4240,0.410398
4260,0.413116
4280,0.349456
4300,0.365222
4320,0.36246
4340,0.407649
4360,0.397675
4380,0.362189
4400,0.345725
4420,0.417369
